Name	Length
B0035.18	327
B0035.1a	1201
B0035.1b	1233
B0035.2	1295
B0035.21	168
B0035.3	898
B0035.4.1	613
B0035.4.2	548
B0035.5	1745
B0035.6	2484
B0035.7	586
B0035.8	504
B0035.9	312
B0041.1	648
B0041.11.1	875
B0041.11.2	427
B0041.11.3	550
B0041.2a.1	2483
B0041.2a.2	2343
B0041.2b	2798
B0041.2c.1	3046
B0041.2c.2	2906
B0041.2d	3135
B0041.3	512
B0041.4	1140
B0041.5	1526
B0041.6a	464
B0041.6b	463
B0041.7.1	4317
B0041.7.2	4506
B0041.8.1	900
B0041.8.2	756
B0047.1a	1028
B0047.1b	935
B0047.3	828
B0047.4	651
B0198.1	1409
B0198.2a	1296
B0198.2b	1163
B0198.3a.1	3469
B0198.3a.2	3436
B0205.10.1	1503
B0205.10.2	1446
B0205.11	954
B0205.12	227
B0205.13	453
B0205.14	278
B0205.1a	2614
B0205.1b	2406
B0205.2a	927
B0205.2b	990
B0205.3.1	1297
B0205.3.2	1290
B0205.4	1365
B0205.5	220
B0205.6	1428
B0205.7	1475
B0205.8.1	498
B0205.8.2	444
B0205.9	1833
B0207.1	1711
B0207.10	270
B0207.11	884
B0207.12a.1	1826
B0207.12a.2	2117
B0207.12b	1458
B0207.12c	720
B0207.2	692
B0207.3a	1107
B0207.3b	1227
B0207.4	1121
B0207.5a	11033
B0207.5b	11063
B0207.6	987
B0207.7	1326
B0207.8	426
B0207.9.1	517
B0207.9.2	462
B0212.1a	1871
B0212.1b	2259
B0212.1c	2135
B0212.2	1189
B0212.3	2143
B0212.4a	1345
B0212.4b	1340
B0212.4c	1133
B0212.4d	572
B0212.5	2875
B0213.10	1533
B0213.11a	1610
B0213.11b	1656
B0213.11c	1405
B0213.12	1500
B0213.14.1	1641
B0213.14.2	1650
B0213.15a	1630
B0213.15b	1581
B0213.15c	454
B0213.15d	411
B0213.16	1571
B0213.17	253
B0213.2	317
B0213.3	331
B0213.4	366
B0213.5	714
B0213.6	451
B0213.7	1002
B0213.8	1089
B0213.9	1103
B0218.1a.1	1884
B0218.1a.2	1823
B0218.1a.3	1835
B0218.1a.4	1826
B0218.1b.1	1689
B0218.1b.2	1660
B0218.1b.3	1640
B0218.1b.4	1631
B0218.2	1922
B0218.3	1561
B0218.5	1287
B0218.6a	1002
B0218.6b	993
B0218.7	1076
B0218.8	1027
B0222.1	902
B0222.10	796
B0222.11	1182
B0222.15	351
B0222.2	1434
B0222.3	1622
B0222.4	1759
B0222.5	1522
B0222.6	953
B0222.7	901
B0222.8	961
B0222.9	3848
B0228.1	747
B0228.4a	5189
B0228.4c	23405
B0228.4d	4527
B0228.4e	8396
B0228.5a	552
B0228.5b	593
B0228.6	882
B0228.7.1	1334
B0228.7.2	1020
B0228.7.3	917
B0228.8	1365
B0228.9	1332
B0238.1	1802
B0238.10.1	1099
B0238.10.2	1043
B0238.11	1119
B0238.12	680
B0238.15	249
B0238.3	843
B0238.5a	971
B0238.6	972
B0238.7	1737
B0238.8.1	1104
B0238.8.2	1009
B0238.9	2018
B0240.1	1455
B0240.2	2325
B0240.3a	3817
B0240.3b	3163
B0240.4	1965
B0244.10	1289
B0244.11	595
B0244.15	1155
B0244.16	1083
B0244.17	1059
B0244.2	2633
B0244.4a	960
B0244.4b	1077
B0244.4c	891
B0244.5	1244
B0244.6	1125
B0244.7	1095
B0244.8	1795
B0244.9	632
B0250.1	876
B0250.10	921
B0250.18a	162
B0250.18b	66
B0250.2	841
B0250.5	1084
B0250.6	852
B0250.7b	216
B0250.8	692
B0250.9.1	1481
B0250.9.2	1492
B0252.1	2615
B0252.2.1	1869
B0252.2.2	1828
B0252.3a	1232
B0252.3b	1599
B0252.3c.1	1720
B0252.3c.2	1563
B0252.4a	447
B0252.4b	618
B0252.5	925
B0252.8	350
B0261.1	2618
B0261.2a	8549
B0261.2b	8540
B0261.4a	925
B0261.4b	925
B0261.5	742
B0261.6a	617
B0261.6b	255
B0261.7	1165
B0261.8	660
B0261.9	504
B0272.1	1564
B0272.2	968
B0272.3	1052
B0272.4	969
B0273.115	410
B0273.1a	770
B0273.1b	331
B0273.2.1	1871
B0273.2.2	1843
B0273.3	1470
B0273.4a	3024
B0273.4b	2146
B0273.4c	3107
B0273.4d	2700
B0273.4e	2547
B0273.4f	2422
B0280.10	1144
B0280.11	1390
B0280.12a	2727
B0280.12b	2934
B0280.13	1910
B0280.17	929
B0280.1a	1177
B0280.1b	2236
B0280.2	2007
B0280.3.1	984
B0280.3.2	947
B0280.4	1160
B0280.5	1729
B0280.7	1173
B0280.8	1541
B0280.9	1399
B0281.1	591
B0281.3	1077
B0281.4	696
B0281.5a	840
B0281.5b	626
B0281.6	732
B0281.8	879
B0284.1	1663
B0284.2	1399
B0284.3	612
B0284.4	1263
B0285.10	1107
B0285.1a	2584
B0285.1b	2567
B0285.1c	2558
B0285.3	740
B0285.4.1	1167
B0285.4.2	1311
B0285.5	2198
B0285.6	1734
B0285.7	2872
B0285.8	1349
B0285.9.1	1315
B0285.9.2	1198
B0286.1.1	980
B0286.1.2	1093
B0286.1.3	1008
B0286.2a	4420
B0286.2b	2004
B0286.3	1476
B0286.4a.1	1883
B0286.4a.2	1599
B0286.4b	1345
B0286.4c.1	1746
B0286.4c.2	1619
B0286.4c.3	1468
B0286.4c.4	1532
B0286.4c.5	1312
B0286.4d.1	1532
B0286.4d.2	1292
B0286.5	1263
B0286.6	914
B0294.1	627
B0294.3	207
B0302.1a	4038
B0302.1b	3716
B0302.2	409
B0302.4	219
B0302.5	772
B0303.11a.1	2997
B0303.11a.2	2925
B0303.11b.1	3046
B0303.11b.2	2974
B0303.14	1581
B0303.15	688
B0303.16	927
B0303.2.1	978
B0303.2.2	977
B0303.3.1	1896
B0303.3.2	1876
B0303.4.1	2276
B0303.4.2	2184
B0303.7a	1758
B0303.7b	1813
B0303.8	805
B0303.9	2026
B0304.1a	1116
B0304.1b.1	1128
B0304.1b.2	1063
B0304.1c.1	1150
B0304.1c.2	1085
B0304.2	815
B0304.3	1701
B0304.4	622
B0304.5	1047
B0304.6	992
B0304.7	1068
B0304.8	1020
B0304.9	1065
B0310.1a	1092
B0310.1b	1321
B0310.2	1573
B0310.3.1	1539
B0310.3.2	1412
B0310.5	1891
B0310.6	410
B0331.1	1537
B0331.2	1636
B0334.1.1	571
B0334.1.2	543
B0334.10	549
B0334.11a	1587
B0334.11b	1574
B0334.13	497
B0334.15	627
B0334.20	206
B0334.2a	954
B0334.2b.1	1076
B0334.2b.2	1017
B0334.3a.1	2084
B0334.3a.2	2008
B0334.3b	1959
B0334.4	826
B0334.5	1411
B0334.6	1374
B0334.7	1017
B0334.8a	3942
B0334.8b	3978
B0336.10.1	509
B0336.10.2	469
B0336.10.3	511
B0336.11a	1739
B0336.11b	834
B0336.12	282
B0336.13	635
B0336.1a.1	2815
B0336.1a.2	2776
B0336.1b	2759
B0336.2.1	1330
B0336.2.2	1158
B0336.2.3	1214
B0336.3	2896
B0336.4a	1991
B0336.4b	1884
B0336.5a	847
B0336.5b	878
B0336.6.1	1566
B0336.6.2	1556
B0336.7a	1572
B0336.7b	1548
B0336.8	433
B0336.9a	2345
B0336.9b.1	2414
B0336.9b.2	2339
B0336.9c	600
B0336.9d	2354
B0336.9e.1	571
B0336.9e.2	1582
B0344.2	2064
B0348.1	264
B0348.10	165
B0348.2a	454
B0348.2b	553
B0348.4a	4959
B0348.4b	5005
B0348.4c	2223
B0348.4d	5248
B0348.4e	5202
B0348.4f	4930
B0348.4g	4884
B0348.4h	4687
B0348.4i	4641
B0348.4j	4750
B0348.4k	4704
B0348.4l	4507
B0348.4m	4461
B0348.4n	5164
B0348.4o	5118
B0348.4p	4921
B0348.4q	4875
B0348.4r	4846
B0348.4s	4800
B0348.4t	4603
B0348.4u	4557
B0348.4v	4666
B0348.4w	4620
B0348.4x	4423
B0348.4y	4377
B0348.5a	1327
B0348.5b	1028
B0348.6a.1	1094
B0348.6a.2	940
B0348.6b.1	949
B0348.6b.2	1108
B0348.6c.1	1100
B0348.6c.2	946
B0350.2a	1203
B0350.2b	2981
B0350.2c.1	5938
B0350.2c.2	5830
B0350.2d	2628
B0350.2e.1	5860
B0350.2e.2	5752
B0350.2f.1	21843
B0350.2f.2	21735
B0350.2g.1	3280
B0350.2g.2	3172
B0350.2h.1	5775
B0350.2h.2	5667
B0350.2i	3665
B0350.2j	3502
B0353.1a	556
B0353.1b	641
B0361.10.1	733
B0361.10.2	1147
B0361.11	1779
B0361.2a	1476
B0361.2b	431
B0361.3.1	2095
B0361.3.2	2010
B0361.4	1016
B0361.5a	1443
B0361.5b	1434
B0361.6	1339
B0361.7.1	1466
B0361.7.2	1467
B0361.8	1536
B0361.9	1088
B0365.1	3447
B0365.3.1	3153
B0365.3.2	3231
B0365.5a	525
B0365.5b	429
B0365.6.1	1876
B0365.6.2	1926
B0365.6.3	1955
B0365.6.4	1927
B0365.7	9828
B0365.9	907
B0379.1a	820
B0379.2	795
B0379.3a	3426
B0379.3b	3414
B0379.4a	1943
B0379.4b	1533
B0379.4c	1030
B0379.6	405
B0379.7.1	1375
B0379.7.2	1307
B0391.11a	1137
B0391.11b	807
B0391.12	1089
B0391.14	411
B0391.3	963
B0391.4	1340
B0391.5	1198
B0391.6	1553
B0391.9	288
B0393.1.1	920
B0393.1.2	888
B0393.2.1	2119
B0393.2.2	2026
B0393.3	2154
B0393.4	2552
B0393.5	3803
B0393.6	1533
B0393.7	882
B0393.8	402
B0393.9a.1	773
B0393.9a.2	714
B0393.9b	913
B0395.1	1805
B0395.2	1559
B0395.3.1	2085
B0395.3.2	2012
B0399.1a	2606
B0399.1b	2470
B0399.1c	1937
B0399.1d	2392
B0399.1e	2273
B0399.1f	2383
B0399.2	2117
B0403.2.1	2531
B0403.2.2	2518
B0403.3	1414
B0403.4	1640
B0403.5	1441
B0403.6	907
B0410.1	324
B0410.2a	1932
B0410.2b	1916
B0410.3	820
B0412.1a	1479
B0412.1b	1335
B0412.2	1661
B0412.3a.1	3352
B0412.3a.2	3349
B0412.3b	2539
B0412.3c	931
B0412.3d.1	501
B0412.3d.2	643
B0412.3d.3	608
B0412.3d.4	541
B0412.3d.5	343
B0412.3d.6	331
B0412.3e.1	501
B0412.3e.2	643
B0412.3e.3	608
B0412.3e.4	541
B0412.4	354
B0414.1	1059
B0414.2.1	1513
B0414.2.2	1157
B0414.3	867
B0414.5	2803
B0414.6	2493
B0414.7a	4430
B0414.7b	4436
B0414.8a	2281
B0414.8b	2251
B0416.10	737
B0416.11	306
B0416.1a	3976
B0416.1b	3919
B0416.1c	3018
B0416.1d	2961
B0416.2	661
B0416.3	694
B0416.4	770
B0416.5a	1987
B0416.5b	1852
B0416.6	1717
B0416.7a	475
B0416.7b	236
B0432.1	957
B0432.10.1	1054
B0432.10.2	1486
B0432.10.3	950
B0432.11	692
B0432.12	558
B0432.13.1	1429
B0432.13.2	1491
B0432.14a	562
B0432.14b	353
B0432.2	721
B0432.3	629
B0432.4.1	1159
B0432.4.2	1078
B0432.5a	1672
B0432.5b	1520
B0432.5c	1741
B0432.7a	3003
B0432.7b	2762
B0432.8	1062
B0432.9	714
B0454.1	1255
B0454.10	1073
B0454.2	975
B0454.26	501
B0454.3	1090
B0454.4	1011
B0454.5	617
B0454.6	1976
B0454.7	1260
B0454.8	1924
B0454.9.1	1134
B0454.9.2	1107
B0457.1a	3651
B0457.1b	3645
B0457.1c	722
B0457.2	1249
B0457.4	885
B0457.6	613
B0462.3	951
B0462.4	398
B0462.5	659
B0464.1.1	1768
B0464.1.2	1747
B0464.2a	3644
B0464.2d	718
B0464.3	354
B0464.4a.1	2115
B0464.4a.2	2039
B0464.5a.1	3798
B0464.5a.2	3632
B0464.5b.1	2339
B0464.5b.2	2288
B0464.5c.1	3148
B0464.5c.2	2619
B0464.5c.3	3097
B0464.5d.1	2922
B0464.5d.2	2484
B0464.5d.3	2476
B0464.5d.4	2310
B0464.6.1	2265
B0464.6.2	2071
B0464.7	540
B0464.8	1123
B0464.9	1216
B0478.1a	1552
B0478.1b.1	1453
B0478.1b.2	1449
B0478.3	707
B0491.1	1316
B0491.2.1	1042
B0491.2.2	1034
B0491.2.3	1024
B0491.3	815
B0491.4	1522
B0491.5.1	1218
B0491.5.2	1119
B0491.5.3	1136
B0491.6a	1767
B0491.6b	2064
B0491.7	974
B0491.8a	3004
B0491.8b	2989
B0491.8c	2900
B0495.1	1068
B0495.10a.1	2300
B0495.10a.2	2334
B0495.10b	2259
B0495.10c	2338
B0495.2	2301
B0495.4	2054
B0495.5.1	2287
B0495.5.2	2275
B0495.6	339
B0495.7.1	3037
B0495.7.2	2858
B0495.7.3	2994
B0495.8a	1122
B0495.8b.1	390
B0495.8b.2	379
B0495.9	932
B0496.1	941
B0496.11	371
B0496.2	1126
B0496.3a	4748
B0496.3b	5033
B0496.3c.1	2495
B0496.3c.2	1675
B0496.3d	4961
B0496.3e	5684
B0496.3f	4931
B0496.3g	4878
B0496.3h	4848
B0496.3i	5076
B0496.5	1298
B0496.6	751
B0496.7	503
B0496.8	1675
B0507.1	2038
B0507.10	1430
B0507.11	939
B0507.15	821
B0507.2	1560
B0507.3a	1443
B0507.3b	1091
B0507.4	636
B0507.5a	645
B0507.5b	555
B0507.6	2188
B0507.7	697
B0507.8	1276
B0507.9	836
B0511.1	1439
B0511.10	1648
B0511.11	1731
B0511.12a	6894
B0511.12b	6867
B0511.13a	726
B0511.13b	1171
B0511.17	262
B0511.19	666
B0511.2	1407
B0511.3	867
B0511.4	1188
B0511.5	1035
B0511.6	1806
B0511.7	993
B0511.8.1	1699
B0511.8.2	1689
B0511.9a	893
B0511.9b	971
B0511.9c	826
B0511.9d	869
B0513.1a	3633
B0513.1b	2258
B0513.1c	3563
B0513.2a.1	663
B0513.2a.2	766
B0513.2b	251
B0513.3a	240
B0513.3b	217
B0513.4a	441
B0513.4b	334
B0513.5a	2093
B0513.5b	1863
B0513.90	300
B0513.9a	611
B0513.9b	358
B0523.3	1716
B0523.5	4611
B0524.2	1092
B0524.3	1692
B0524.4	2319
B0524.5	569
B0524.6	830
B0545.1a	2756
B0545.1b.1	2695
B0545.1b.2	2471
B0545.3	1058
B0545.4.1	900
B0545.4.2	584
B0546.1.1	474
B0546.1.2	470
B0546.2a	1581
B0546.2b.1	1575
B0546.2b.2	1534
B0546.2b.3	1548
B0546.3a	1284
B0546.3b	1634
B0546.3c	546
B0546.4a	748
B0546.4b	1096
B0546.4c.1	399
B0546.4c.2	299
B0546.4c.3	682
B0546.5	1038
B0547.1	1203
B0547.2	195
B0547.4	1008
B0554.1	228
B0554.2	1890
B0554.4	1812
B0554.5	1550
B0554.6	1149
B0554.7a	1422
B0554.7b	573
B0554.7c	338
B0563.1	564
B0563.10	300
B0563.18	683
B0563.2.1	965
B0563.2.2	1435
B0563.4	1075
B0563.5	393
B0563.6a	2824
B0563.6b	1581
B0563.6c	1399
B0563.7	690
B0563.8	258
B0563.9	231
B0564.10a	1210
B0564.10b	1033
B0564.10c	619
B0564.10d	607
B0564.11.1	1273
B0564.11.2	1273
B0564.1a	911
B0564.1b.1	674
B0564.1b.2	647
B0564.1c	453
B0564.2a	757
B0564.2b	228
B0564.3.1	1506
B0564.3.2	1486
B0564.4	1266
B0564.6	1272
B0564.7a	1939
B0564.7b	695
B0564.9	1272
BE0003N10.1	2447
BE0003N10.2	1660
BE0003N10.3a	2443
BE0003N10.3b	2313
BE0003N10.6a	1106
BE0003N10.6b	777
BE0003N10.6c	690
BE0003N10.6d	444
BE0003N10.6e	87
BE10.1	1081
BE10.2	1668
BE10.3	1818
BE10.4	1049
BE10.5.1	420
BE10.5.2	377
C01A2.1a	1030
C01A2.1b	577
C01A2.1c	324
C01A2.2a	712
C01A2.2b	252
C01A2.3	1596
C01A2.4	717
C01A2.5	1118
C01A2.6	823
C01A2.7a	673
C01A2.7b	666
C01A2.9	273
C01B10.10	1861
C01B10.11	1122
C01B10.3	1302
C01B10.44	716
C01B10.4a	1761
C01B10.4b	1667
C01B10.5a	764
C01B10.5b	498
C01B10.5c	477
C01B10.5e	442
C01B10.6a.1	1756
C01B10.6a.2	1737
C01B10.6b	1728
C01B10.6c.1	1736
C01B10.6c.2	1733
C01B10.6c.3	1652
C01B10.6d.1	795
C01B10.6d.2	764
C01B10.6d.3	743
C01B10.6d.4	689
C01B10.6d.5	659
C01B10.6d.6	511
C01B10.7a	417
C01B10.7b	180
C01B10.8.1	2160
C01B10.8.2	2110
C01B10.9	1996
C01B12.1	1027
C01B12.2	1452
C01B12.3	1983
C01B12.4	1408
C01B12.5	1697
C01B12.8	632
C01B4.1	1059
C01B4.10	954
C01B4.3	1059
C01B4.5	984
C01B4.6	993
C01B4.7a	1428
C01B4.7c	843
C01B4.7d	96
C01B4.8a	1437
C01B4.8b	225
C01B4.9a	1635
C01B4.9b	1179
C01B4.9c	612
C01B4.9d	219
C01B7.1a.1	3289
C01B7.1a.2	3261
C01B7.1a.3	3227
C01B7.1b.1	1727
C01B7.1b.2	1699
C01B7.1b.3	1818
C01B7.1c.1	3304
C01B7.1c.2	3276
C01B7.1c.3	3242
C01B7.1d.1	3238
C01B7.1d.2	3210
C01B7.1d.3	3176
C01B7.3	399
C01B7.4.1	2292
C01B7.4.2	2356
C01B7.5	462
C01B7.6	11557
C01B7.7	609
C01B9.1a	4896
C01B9.1b	5042
C01B9.4	150
C01C10.1	969
C01C10.2a	1153
C01C10.2b	988
C01C10.3	1508
C01C10.4	1139
C01C4.1.1	731
C01C4.1.2	700
C01C4.2	902
C01C4.3a.1	1971
C01C4.3a.2	1471
C01C4.3b.1	2236
C01C4.3b.2	2387
C01C7.1a	3509
C01C7.1b	3566
C01F1.1	1579
C01F1.2	1145
C01F1.3a	1963
C01F1.3b	630
C01F1.4	1149
C01F1.5	1431
C01F1.6	1681
C01F4.2a	3241
C01F4.2b	3600
C01F6.1	1917
C01F6.14	316
C01F6.2	1625
C01F6.4a	1668
C01F6.4c	855
C01F6.5	774
C01F6.6a	1852
C01F6.6b	2361
C01F6.6c	1710
C01F6.6d	1779
C01F6.6e.1	1843
C01F6.6e.2	1780
C01F6.6e.3	1575
C01F6.6e.4	1493
C01F6.6f	1503
C01F6.6g	1539
C01F6.6h	1916
C01F6.6i	1638
C01F6.6j.1	1637
C01F6.6j.2	1574
C01F6.6j.3	1398
C01F6.8a	790
C01F6.8b	850
C01F6.9a	375
C01F6.9b	99
C01F6.9c	87
C01G10.1	3812
C01G10.10a	1413
C01G10.11a.1	1713
C01G10.11a.2	1575
C01G10.11b.1	2593
C01G10.11b.2	1118
C01G10.11c	1568
C01G10.11d	1175
C01G10.11e	999
C01G10.11f.1	1725
C01G10.11f.2	1605
C01G10.12	624
C01G10.14	553
C01G10.15	371
C01G10.16	436
C01G10.17	259
C01G10.18	201
C01G10.3	1083
C01G10.4	234
C01G10.5	292
C01G10.6	395
C01G10.7.1	1070
C01G10.7.2	1216
C01G10.8.1	1141
C01G10.8.2	1177
C01G10.9.1	1456
C01G10.9.2	1222
C01G12.1	1736
C01G12.10.1	315
C01G12.10.2	351
C01G12.11	375
C01G12.13	839
C01G12.16	317
C01G12.2	240
C01G12.3.1	706
C01G12.3.2	783
C01G12.5	840
C01G12.6	240
C01G12.7	1966
C01G12.8	3137
C01G12.9	860
C01G5.25	554
C01G5.2a	2590
C01G5.3	1225
C01G5.4a	3395
C01G5.5	1010
C01G5.6	1393
C01G5.7a	408
C01G5.7b	471
C01G5.8a	2770
C01G5.8b	1400
C01G5.9	1354
C01G6.1a.1	1204
C01G6.1a.2	1189
C01G6.1a.3	1195
C01G6.1b.1	1222
C01G6.1b.2	1207
C01G6.2	697
C01G6.3.1	1285
C01G6.3.2	1279
C01G6.4	992
C01G6.5	3678
C01G6.6a.1	2217
C01G6.6a.2	2170
C01G6.7	1696
C01G6.8a	3281
C01G6.8b	3232
C01G6.8c	2929
C01G6.9	1180
C01G8.1a	1245
C01G8.1b	1225
C01G8.2	1395
C01G8.3	1231
C01G8.4.1	1021
C01G8.4.2	1020
C01G8.5a	2324
C01G8.5b	2290
C01G8.6	1277
C01G8.9a	5931
C01G8.9b	3132
C01G8.9c.1	6378
C01G8.9c.2	6327
C01G8.9d	6502
C01H6.1	949
C01H6.2	2187
C01H6.3	1005
C01H6.4	1435
C01H6.5a	2411
C01H6.5b	2046
C01H6.5c	2365
C01H6.5d	1497
C01H6.5e	1484
C01H6.5f	2220
C01H6.6	1727
C01H6.7a.1	2220
C01H6.7a.2	2274
C01H6.7a.3	2162
C01H6.7b.1	2168
C01H6.7b.2	2177
C01H6.8a	824
C01H6.8b	598
C01H6.9	2995
C02A12.1	778
C02A12.10	932
C02A12.2	936
C02A12.3	918
C02A12.4	913
C02A12.5	1073
C02A12.6	909
C02A12.8	2109
C02A12.9	897
C02B10.1.1	1494
C02B10.1.2	1475
C02B10.2	714
C02B10.3	1437
C02B10.4	882
C02B10.5a.1	2637
C02B10.5a.2	2590
C02B10.5b	2350
C02B10.6	1308
C02B4.1	4802
C02B4.2	1675
C02B4.3	561
C02B4.4	411
C02B8.1.1	650
C02B8.1.2	652
C02B8.12	1089
C02B8.2	819
C02B8.3	739
C02B8.4	566
C02B8.5	1148
C02B8.6	1807
C02B8.7	159
C02C2.1	2144
C02C2.3	1401
C02C2.4	1842
C02C2.5	1068
C02C6.1a	2702
C02C6.1b	3266
C02C6.2a	2171
C02C6.2b	2017
C02C6.3a	1258
C02C6.3b	1258
C02C6.3c	491
C02C6.3d.1	1258
C02C6.3d.2	654
C02D4.1	957
C02D4.2a	1565
C02D4.2b	1556
C02D4.2c	600
C02D4.2d	591
C02D4.2e	1634
C02D4.2f	1650
C02D4.2g	1309
C02D5.1	1330
C02D5.2a	1185
C02D5.2b	1162
C02D5.3.1	849
C02D5.3.2	929
C02D5.4	871
C02E11.1a	3628
C02E11.1b	3633
C02E7.10	1023
C02E7.13	1050
C02E7.1a	3185
C02E7.1b	3138
C02E7.2	1206
C02E7.3	1002
C02E7.4a	867
C02E7.4b	990
C02E7.5	1086
C02E7.6	324
C02E7.7	301
C02E7.8	261
C02E7.9	1038
C02F12.10a	689
C02F12.10b	141
C02F12.1a	1062
C02F12.1b	1164
C02F12.1c	1050
C02F12.1d	674
C02F12.1e	788
C02F12.3.1	697
C02F12.3.2	598
C02F12.4	2211
C02F12.5	691
C02F12.7	3706
C02F12.8	2256
C02F12.9	801
C02F4.1.1	5644
C02F4.1.2	5683
C02F4.2a	2650
C02F4.2b	1604
C02F4.2c	2671
C02F4.4	845
C02F4.5	684
C02F5.1	3376
C02F5.10.1	526
C02F5.10.2	495
C02F5.11	713
C02F5.12	1375
C02F5.13	794
C02F5.14	500
C02F5.2	436
C02F5.3	1222
C02F5.4	1118
C02F5.5	659
C02F5.6b	1456
C02F5.7a.1	2115
C02F5.7a.2	2109
C02F5.7a.3	2174
C02F5.7a.4	2044
C02F5.7b.1	1976
C02F5.7b.2	2508
C02F5.7b.3	1905
C02F5.8	905
C02F5.9	878
C02G6.1	3036
C02G6.2	2451
C02G6.3	509
C02H6.1	1005
C02H6.2	1147
C02H6.3	936
C02H7.1	1671
C02H7.2	1435
C02H7.3a	4574
C02H7.3b	4428
C03A3.1a	1387
C03A3.1b	1226
C03A3.2	1977
C03A3.3	864
C03A7.10	944
C03A7.11	1672
C03A7.12	919
C03A7.13	954
C03A7.14.1	1523
C03A7.14.2	1506
C03A7.2	984
C03A7.3	1140
C03A7.4	1238
C03A7.5	885
C03A7.6	873
C03A7.7	1174
C03A7.8	1317
C03A7.9	1061
C03B1.1	783
C03B1.10	126
C03B1.12	1044
C03B1.13	1584
C03B1.14	867
C03B1.2	843
C03B1.3	350
C03B1.4	762
C03B1.5	1315
C03B1.6a	464
C03B1.6b	798
C03B1.7a	2741
C03B1.7b	2370
C03B1.9	618
C03B8.2	180
C03B8.3	816
C03B8.4	7053
C03C10.1.1	1863
C03C10.1.2	1896
C03C10.2	1057
C03C10.3	1388
C03C10.4	1029
C03C10.5	262
C03C10.7	571
C03C10.9	135
C03C11.1	702
C03C11.2	978
C03D6.1	885
C03D6.3a.1	2201
C03D6.3a.2	2156
C03D6.3b	1814
C03D6.4	4342
C03D6.5	991
C03D6.6	717
C03D6.8	583
C03D6.9	307
C03E10.1	894
C03E10.3.1	1394
C03E10.3.2	1305
C03E10.4	1878
C03E10.5	3198
C03E10.6	827
C03F11.1	2199
C03F11.2	1386
C03F11.3.1	1811
C03F11.3.2	1792
C03F11.4.1	1588
C03F11.4.2	1634
C03G5.1	2290
C03G5.10	306
C03G5.11	373
C03G5.12	306
C03G5.13	306
C03G5.14	432
C03G5.2	377
C03G5.7.1	544
C03G5.7.2	517
C03G5.8	384
C03G5.9	306
C03G6.10	1187
C03G6.11	1017
C03G6.12a	1217
C03G6.12b	1023
C03G6.13	935
C03G6.14	1408
C03G6.15	1610
C03G6.16	912
C03G6.17	1038
C03G6.19	1307
C03G6.2	907
C03G6.21	384
C03G6.3a	1055
C03G6.5	828
C03G6.6	924
C03G6.7	1044
C03G6.8	1483
C03G6.9	1011
C03H12.1a	2385
C03H12.1b.1	2301
C03H12.1b.2	2202
C03H12.1c	930
C03H12.1d	2307
C03H12.1e.1	2214
C03H12.1e.2	2115
