Name	Length
F58H7.6	4260
F59C6.1	1032
H02F09.4	3420
H12D21.8	2481
H12I19.6	1020
H14A12.1	546
H18N23.1	666
H28G03.4	1380
K01A11.5	1881
K01D12.2	2739
K01G12.1	2688
K02A2.6	3936
K02B7.1	2307
K02B7.2	1353
K02E7.2	1236
K02E7.3	2418
K03D3.6	1683
K03D3.8	1887
K03D7.1	4490
K03F8.1	513
K03H6.3	1011
K04A8.7	834
K04F10.5	2268
K06C4.14	2298
K06C4.15	3204
K07E8.10	468
K08A2.6	990
K08D10.1	2571
K08F11.2	2628
K09E10.3	1020
K09E3.1	2028
K09F6.2	1494
K09H9.4	864
K10B3.2	426
K10E9.2	1614
K10F12.5	2418
M01A10.4	1893
M01B12.1	465
M01D1.4	1020
M04C7.2	2088
M110.6	759
M116.3	1599
R03G8.2	414
R03H10.9	564
R05A10.9	486
R05F9.4	1431
R05G6.2	1020
R06A4.3	1584
R07H5.15	972
R07H5.5	1020
R07H5.6	582
R09A1.4	369
R09E12.5	1236
R09E12.6	2418
R09H3.1	3102
R10E4.8	1020
R10H1.3	990
R11E3.3	2796
R13D11.7	4368
R173.2	945
R52.2	3060
T01C1.1	255
T02D1.1	2373
T02G5.5	990
T03F1.4	3714
T04A11.11	990
T05A1.4	7227
T05C3.3	2796
T05F1.12	798
T05H4.9	1620
T06D8.4	1020
T07C12.2	1662
T07D3.8	1032
T07E3.1	1770
T07G12.7	1236
T09F5.7	636
T10B5.1	822
T10B5.9	822
T14C1.2	270
T14G12.1	1011
T14G12.5	6114
T16A1.9	177
T16A9.1	1614
T19C9.7	3666
T20F10.4	1251
T20F10.6	2463
T20F10.7	1540
T20H12.2	990
T21B4.11	1032
T22F3.1	1066
T23B12.10	882
T23B12.9	5235
T23E7.1	4053
T23E7.3	591
T24H5.1	1245
T25G12.8	726
T25G12.9	1077
T26H8.1	1020
T27C5.9	4917
T27E7.7	1020
T27F6.9	996
T28A11.14	1122
W02H5.3	1536
W02H5.4	1536
W03G1.3	1245
W03G1.4	2418
W04G5.1	1011
W06G6.14	1011
W07E6.6	990
Y102A11A.4	2274
Y102A5D.1	1251
Y105C5B.22	1020
Y105C5B.26	2637
Y105C5B.27	1242
Y106G6G.5	4048
Y106G6G.8	401
Y108F1.2	1728
Y111B2A.37	1020
Y116A8B.2	1020
Y116F11B.27	864
Y119D3A.5	1020
Y11D7A.6	456
Y20F4.5	2178
Y20F4.9	3913
Y26D4A.10	1251
Y26D4A.11	1167
Y26D4A.14	2859
Y26D4A.20	1068
Y26D4A.9	4308
Y32G9A.9	1254
Y37A1A.1	1020
Y37D8A.7	1032
Y37E3.18	1431
Y37H2A.3	1803
Y38F2AR.4	1599
Y38H6C.6	1572
Y39A3A.1	936
Y39F10A.4	1032
Y43F4A.2	6993
Y43F4B.2	1890
Y45F10C.5	588
Y45F10D.1	990
Y45G12C.13	1155
Y46C8AL.6	1935
Y46G5A.32	1032
Y47H9C.3	990
Y48C3A.2	1032
Y48G10A.10	324
Y48G10A.5	990
Y48G1BL.4	428
Y48G1BM.4	2385
Y48G9A.5	945
Y49F6A.4	1545
Y51A2C.1	1032
Y51A2D.22	822
Y51B11A.1	3240
Y51F10.1	480
Y51F10.8	615
Y51H4A.14	1041
Y51H4A.29	1020
Y52E8A.8	606
Y53F4B.34	1020
Y53G8AM.1	990
Y54C5B.1	1599
Y54G2A.51	2196
Y55F3C.11	1068
Y55F3C.6	2418
Y55H10B.1	1524
Y55H10B.2	231
Y56A3A.9	1122
Y57G11C.19	1053
Y58G8A.2	2310
Y59E1A.3	894
Y60A3A.27	1518
Y60A3A.30	1065
Y60A3A.36	1074
Y64G10A.3	765
Y64G10A.5	1020
Y66D12A.2	990
Y67H2A.3	1503
Y69A2AR.10	2070
Y69A2AR.20	270
Y6B3B.8	990
Y71A12B.32	1494
Y71A12B.7	2742
Y71D11A.4	993
Y71F9AL.3	1272
Y73B3A.19	945
Y73B3A.6	1443
Y73B6BL.16	3804
Y73F8A.28	1032
Y73F8A.29	1020
Y75D11A.4	1443
Y75D11A.5	7746
Y76B12C.5	2817
Y76G2A.1	414
Y76G2A.2	240
Y7A5A.12	1020
Y87G2A.12	2376
Y94A7B.2	1032
Y95B8A.3	1020
ZC132.1	1020
ZC132.4	2496
ZC132.5	5094
ZC247.4	990
ZC334.4	1032
ZC53.3	747
ZC64.1	726
ZK1225.3	1020
ZK1236.4	1095
ZK1251.4	1032
ZK1320.8	1419
ZK218.2	990
ZK228.2	7071
ZK250.1	2232
ZK250.3	1038
ZK250.4	1032
ZK262.5	990
ZK546.8	1020
ZK563.3	924
ZK682.1	144
ZK856.2	1032
