	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1
OG0003287	AFZ52677		
OG0003288	AFZ52681		
OG0003289	AFZ52686		
OG0003290	AFZ52689		
OG0003291	AFZ52691		
OG0003292	AFZ52700		
OG0003293	AFZ52707		
OG0003294	AFZ52713		
OG0003295	AFZ52718		
OG0003296	AFZ52720		
OG0003297	AFZ52722		
OG0003298	AFZ52723		
OG0003299	AFZ52732		
OG0003300	AFZ52737		
OG0003301	AFZ52738		
OG0003302	AFZ52742		
OG0003303	AFZ52746		
OG0003304	AFZ52747		
OG0003305	AFZ52748		
OG0003306	AFZ52752		
OG0003307	AFZ52755		
OG0003308	AFZ52758		
OG0003309	AFZ52759		
OG0003310	AFZ52766		
OG0003311	AFZ52793		
OG0003312	AFZ52801		
OG0003313	AFZ52809		
OG0003314	AFZ52816		
OG0003315	AFZ52832		
OG0003316	AFZ52848		
OG0003317	AFZ52853		
OG0003318	AFZ52872		
OG0003319	AFZ52879		
OG0003320	AFZ52892		
OG0003321	AFZ52893		
OG0003322	AFZ52906		
OG0003323	AFZ52907		
OG0003324	AFZ52911		
OG0003325	AFZ52915		
OG0003326	AFZ52916		
OG0003327	AFZ52932		
OG0003328	AFZ52934		
OG0003329	AFZ52942		
OG0003330	AFZ52943		
OG0003331	AFZ52948		
OG0003332	AFZ52950		
OG0003333	AFZ52951		
OG0003334	AFZ52978		
OG0003335	AFZ52989		
OG0003336	AFZ52999		
OG0003337	AFZ53006		
OG0003338	AFZ53009		
OG0003339	AFZ53014		
OG0003340	AFZ53018		
OG0003341	AFZ53032		
OG0003342	AFZ53034		
OG0003343	AFZ53036		
OG0003344	AFZ53040		
OG0003345	AFZ53059		
OG0003346	AFZ53062		
OG0003347	AFZ53069		
OG0003348	AFZ53073		
OG0003349	AFZ53076		
OG0003350	AFZ53078		
OG0003351	AFZ53086		
OG0003352	AFZ53087		
OG0003353	AFZ53104		
OG0003354	AFZ53114		
OG0003355	AFZ53115		
OG0003356	AFZ53116		
OG0003357	AFZ53120		
OG0003358	AFZ53128		
OG0003359	AFZ53130		
OG0003360	AFZ53132		
OG0003361	AFZ53155		
OG0003362	AFZ53162		
OG0003363	AFZ53163		
OG0003364	AFZ53171		
OG0003365	AFZ53173		
OG0003366	AFZ53174		
OG0003367	AFZ53176		
OG0003368	AFZ53178		
OG0003369	AFZ53179		
OG0003370	AFZ53180		
OG0003371	AFZ53181		
OG0003372	AFZ53182		
OG0003373	AFZ53194		
OG0003374	AFZ53195		
OG0003375	AFZ53201		
OG0003376	AFZ53202		
OG0003377	AFZ53205		
OG0003378	AFZ53206		
OG0003379	AFZ53222		
OG0003380	AFZ53225		
OG0003381	AFZ53230		
OG0003382	AFZ53239		
OG0003383	AFZ53240		
OG0003384	AFZ53241		
OG0003385	AFZ53258		
OG0003386	AFZ53266		
OG0003387	AFZ53267		
OG0003388	AFZ53272		
OG0003389	AFZ53278		
OG0003390	AFZ53284		
OG0003391	AFZ53286		
OG0003392	AFZ53287		
OG0003393	AFZ53289		
OG0003394	AFZ53290		
OG0003395	AFZ53291		
OG0003396	AFZ53292		
OG0003397	AFZ53293		
OG0003398	AFZ53294		
OG0003399	AFZ53295		
OG0003400	AFZ53305		
OG0003401	AFZ53306		
OG0003402	AFZ53307		
OG0003403	AFZ53308		
OG0003404	AFZ53311		
OG0003405	AFZ53312		
OG0003406	AFZ53316		
OG0003407	AFZ53317		
OG0003408	AFZ53318		
OG0003409	AFZ53319		
OG0003410	AFZ53320		
OG0003411	AFZ53321		
OG0003412	AFZ53323		
OG0003413	AFZ53324		
OG0003414	AFZ53344		
OG0003415	AFZ53345		
OG0003416	AFZ53346		
OG0003417	AFZ53348		
OG0003418	AFZ53349		
OG0003419	AFZ53357		
OG0003420	AFZ53358		
OG0003421	AFZ53360		
OG0003422	AFZ53369		
OG0003423	AFZ53377		
OG0003424	AFZ53381		
OG0003425	AFZ53386		
OG0003426	AFZ53388		
OG0003427	AFZ53391		
OG0003428	AFZ53392		
OG0003429	AFZ53396		
OG0003430	AFZ53401		
OG0003431	AFZ53403		
OG0003432	AFZ53405		
OG0003433	AFZ53407		
OG0003434	AFZ53409		
OG0003435	AFZ53410		
OG0003436	AFZ53411		
OG0003437	AFZ53414		
OG0003438	AFZ53416		
OG0003439	AFZ53428		
OG0003440	AFZ53435		
OG0003441	AFZ53444		
OG0003442	AFZ53448		
OG0003443	AFZ53454		
OG0003444	AFZ53458		
OG0003445	AFZ53482		
OG0003446	AFZ53490		
OG0003447	AFZ53492		
OG0003448	AFZ53494		
OG0003449	AFZ53496		
OG0003450	AFZ53497		
OG0003451	AFZ53498		
OG0003452	AFZ53499		
OG0003453	AFZ53500		
OG0003454	AFZ53501		
OG0003455	AFZ53502		
OG0003456	AFZ53510		
OG0003457	AFZ53519		
OG0003458	AFZ53529		
OG0003459	AFZ53535		
OG0003460	AFZ53545		
OG0003461	AFZ53554		
OG0003462	AFZ53568		
OG0003463	AFZ53577		
OG0003464	AFZ53580		
OG0003465	AFZ53584		
OG0003466	AFZ53587		
OG0003467	AFZ53596		
OG0003468	AFZ53601		
OG0003469	AFZ53604		
OG0003470	AFZ53605		
OG0003471	AFZ53607		
OG0003472	AFZ53608		
OG0003473	AFZ53611		
OG0003474	AFZ53612		
OG0003475	AFZ53613		
OG0003476	AFZ53621		
OG0003477	AFZ53624		
OG0003478	AFZ53632		
OG0003479	AFZ53636		
OG0003480	AFZ53644		
OG0003481	AFZ53646		
OG0003482	AFZ53659		
OG0003483	AFZ53680		
OG0003484	AFZ53688		
OG0003485	AFZ53706		
OG0003486	AFZ53707		
OG0003487	AFZ53708		
OG0003488	AFZ53718		
OG0003489	AFZ53719		
OG0003490	AFZ53720		
OG0003491	AFZ53721		
OG0003492	AFZ53738		
OG0003493	AFZ53740		
OG0003494	AFZ53744		
OG0003495	AFZ53747		
OG0003496	AFZ53749		
OG0003497	AFZ53751		
OG0003498	AFZ53756		
OG0003499	AFZ53757		
OG0003500	AFZ53760		
OG0003501	AFZ53793		
OG0003502	AFZ53810		
OG0003503	AFZ53816		
OG0003504	AFZ53845		
OG0003505	AFZ53859		
OG0003506	AFZ53860		
OG0003507	AFZ53861		
OG0003508	AFZ53870		
OG0003509	AFZ53871		
OG0003510	AFZ53896		
OG0003511	AFZ53902		
OG0003512	AFZ53903		
OG0003513	AFZ53904		
OG0003514	AFZ53905		
OG0003515	AFZ53906		
OG0003516	AFZ53917		
OG0003517	AFZ53919		
OG0003518	AFZ53929		
OG0003519	AFZ53941		
OG0003520	AFZ53943		
OG0003521	AFZ53954		
OG0003522	AFZ53955		
OG0003523	AFZ53956		
OG0003524	AFZ53957		
OG0003525	AFZ53958		
OG0003526	AFZ53959		
OG0003527	AFZ53960		
OG0003528	AFZ53961		
OG0003529	AFZ53962		
OG0003530	AFZ53963		
OG0003531	AFZ53964		
OG0003532	AFZ53965		
OG0003533	AFZ53966		
OG0003534	AFZ53979		
OG0003535	AFZ53983		
OG0003536	AFZ53984		
OG0003537	AFZ53996		
OG0003538	AFZ53997		
OG0003539	AFZ53998		
OG0003540	AFZ54003		
OG0003541	AFZ54006		
OG0003542	AFZ54007		
OG0003543	AFZ54009		
OG0003544	AFZ54013		
OG0003545	AFZ54021		
OG0003546	AFZ54023		
OG0003547	AFZ54024		
OG0003548	AFZ54032		
OG0003549	AFZ54054		
OG0003550	AFZ54055		
OG0003551	AFZ54057		
OG0003552	AFZ54058		
OG0003553	AFZ54059		
OG0003554	AFZ54062		
OG0003555	AFZ54064		
OG0003556	AFZ54076		
OG0003557	AFZ54077		
OG0003558	AFZ54079		
OG0003559	AFZ54081		
OG0003560	AFZ54086		
OG0003561	AFZ54091		
OG0003562	AFZ54094		
OG0003563	AFZ54102		
OG0003564	AFZ54111		
OG0003565	AFZ54112		
OG0003566	AFZ54113		
OG0003567	AFZ54116		
OG0003568	AFZ54117		
OG0003569	AFZ54129		
OG0003570	AFZ54130		
OG0003571	AFZ54131		
OG0003572	AFZ54132		
OG0003573	AFZ54134		
OG0003574	AFZ54135		
OG0003575	AFZ54137		
OG0003576	AFZ54139		
OG0003577	AFZ54140		
OG0003578	AFZ54160		
OG0003579	AFZ54164		
OG0003580	AFZ54165		
OG0003581	AFZ54167		
OG0003582	AFZ54168		
OG0003583	AFZ54184		
OG0003584	AFZ54187		
OG0003585	AFZ54191		
OG0003586	AFZ54196		
OG0003587	AFZ54201		
OG0003588	AFZ54209		
OG0003589	AFZ54212		
OG0003590	AFZ54213		
OG0003591	AFZ54218		
OG0003592	AFZ54220		
OG0003593	AFZ54229		
OG0003594	AFZ54236		
OG0003595	AFZ54247		
OG0003596	AFZ54252		
OG0003597	AFZ54253		
OG0003598	AFZ54254		
OG0003599	AFZ54257		
OG0003600	AFZ54273		
OG0003601	AFZ54285		
OG0003602	AFZ54303		
OG0003603	AFZ54310		
OG0003604	AFZ54311		
OG0003605	AFZ54316		
OG0003606	AFZ54318		
OG0003607	AFZ54319		
OG0003608	AFZ54325		
OG0003609	AFZ54326		
OG0003610	AFZ54333		
OG0003611	AFZ54334		
OG0003612	AFZ54335		
OG0003613	AFZ54349		
OG0003614	AFZ54356		
OG0003615	AFZ54360		
OG0003616	AFZ54361		
OG0003617	AFZ54362		
OG0003618	AFZ54364		
OG0003619	AFZ54365		
OG0003620	AFZ54369		
OG0003621	AFZ54371		
OG0003622	AFZ54378		
OG0003623	AFZ54379		
OG0003624	AFZ54381		
OG0003625	AFZ54394		
OG0003626	AFZ54414		
OG0003627	AFZ54417		
OG0003628	AFZ54433		
OG0003629	AFZ54436		
OG0003630	AFZ54437		
OG0003631	AFZ54440		
OG0003632	AFZ54441		
OG0003633	AFZ54442		
OG0003634	AFZ54451		
OG0003635	AFZ54456		
OG0003636	AFZ54459		
OG0003637	AFZ54465		
OG0003638	AFZ54468		
OG0003639	AFZ54469		
OG0003640	AFZ54470		
OG0003641	AFZ54473		
OG0003642	AFZ54474		
OG0003643	AFZ54476		
OG0003644	AFZ54482		
OG0003645	AFZ54485		
OG0003646	AFZ54486		
OG0003647	AFZ54487		
OG0003648	AFZ54488		
OG0003649	AFZ54489		
OG0003650	AFZ54492		
OG0003651	AFZ54494		
OG0003652	AFZ54495		
OG0003653	AFZ54502		
OG0003654	AFZ54504		
OG0003655	AFZ54508		
OG0003656	AFZ54509		
OG0003657	AFZ54510		
OG0003658	AFZ54511		
OG0003659	AFZ54527		
OG0003660	AFZ54533		
OG0003661	AFZ54535		
OG0003662	AFZ54538		
OG0003663	AFZ54540		
OG0003664	AFZ54560		
OG0003665	AFZ54561		
OG0003666	AFZ54565		
OG0003667	AFZ54566		
OG0003668	AFZ54575		
OG0003669	AFZ54577		
OG0003670	AFZ54580		
OG0003671	AFZ54585		
OG0003672	AFZ54586		
OG0003673	AFZ54598		
OG0003674	AFZ54602		
OG0003675	AFZ54611		
OG0003676	AFZ54617		
OG0003677	AFZ54619		
OG0003678	AFZ54620		
OG0003679	AFZ54629		
OG0003680	AFZ54630		
OG0003681	AFZ54633		
OG0003682	AFZ54635		
OG0003683	AFZ54636		
OG0003684	AFZ54637		
OG0003685	AFZ54644		
OG0003686	AFZ54645		
OG0003687	AFZ54653		
OG0003688	AFZ54660		
OG0003689	AFZ54661		
OG0003690	AFZ54689		
OG0003691	AFZ54691		
OG0003692	AFZ54692		
OG0003693	AFZ54694		
OG0003694	AFZ54695		
OG0003695	AFZ54696		
OG0003696	AFZ54697		
OG0003697	AFZ54702		
OG0003698	AFZ54719		
OG0003699	AFZ54722		
OG0003700	AFZ54723		
OG0003701	AFZ54727		
OG0003702	AFZ54728		
OG0003703	AFZ54731		
OG0003704	AFZ54732		
OG0003705	AFZ54733		
OG0003706	AFZ54734		
OG0003707	AFZ54735		
OG0003708	AFZ54736		
OG0003709	AFZ54737		
OG0003710	AFZ54738		
OG0003711	AFZ54739		
OG0003712	AFZ54747		
OG0003713	AFZ54766		
OG0003714	AFZ54768		
OG0003715	AFZ54772		
OG0003716	AFZ54775		
OG0003717	AFZ54776		
OG0003718	AFZ54777		
OG0003719	AFZ54788		
OG0003720	AFZ54790		
OG0003721	AFZ54793		
OG0003722	AFZ54795		
OG0003723	AFZ54799		
OG0003724	AFZ54800		
OG0003725	AFZ54802		
OG0003726	AFZ54809		
OG0003727	AFZ54812		
OG0003728	AFZ54813		
OG0003729	AFZ54814		
OG0003730	AFZ54815		
OG0003731	AFZ54824		
OG0003732	AFZ54825		
OG0003733	AFZ54826		
OG0003734	AFZ54828		
OG0003735	AFZ54837		
OG0003736	AFZ54843		
OG0003737	AFZ54853		
OG0003738	AFZ54855		
OG0003739	AFZ54856		
OG0003740	AFZ54857		
OG0003741	AFZ54858		
OG0003742	AFZ54859		
OG0003743	AFZ54861		
OG0003744	AFZ54864		
OG0003745	AFZ54868		
OG0003746	AFZ54874		
OG0003747	AFZ54883		
OG0003748	AFZ54887		
OG0003749	AFZ54889		
OG0003750	AFZ54895		
OG0003751	AFZ54897		
OG0003752	AFZ54898		
OG0003753	AFZ54899		
OG0003754	AFZ54918		
OG0003755	AFZ54919		
OG0003756	AFZ54920		
OG0003757	AFZ54922		
OG0003758	AFZ54925		
OG0003759	AFZ54926		
OG0003760	AFZ54929		
OG0003761	AFZ54930		
OG0003762	AFZ54945		
OG0003763	AFZ54946		
OG0003764	AFZ54948		
OG0003765	AFZ54952		
OG0003766	AFZ54953		
OG0003767	AFZ54958		
OG0003768	AFZ54964		
OG0003769	AFZ54965		
OG0003770	AFZ54966		
OG0003771	AFZ54967		
OG0003772	AFZ54973		
OG0003773	AFZ54974		
OG0003774	AFZ54976		
OG0003775	AFZ54994		
OG0003776	AFZ54995		
OG0003777	AFZ54996		
OG0003778	AFZ54998		
OG0003779	AFZ55002		
OG0003780	AFZ55007		
OG0003781	AFZ55010		
OG0003782	AFZ55022		
OG0003783	AFZ55027		
OG0003784	AFZ55039		
OG0003785	AFZ55041		
OG0003786	AFZ55056		
OG0003787	AFZ55059		
OG0003788	AFZ55062		
OG0003789	AFZ55073		
OG0003790	AFZ55084		
OG0003791	AFZ55085		
OG0003792	AFZ55086		
OG0003793	AFZ55088		
OG0003794	AFZ55094		
OG0003795	AFZ55100		
OG0003796	AFZ55102		
OG0003797	AFZ55104		
OG0003798	AFZ55112		
OG0003799	AFZ55116		
OG0003800	AFZ55138		
OG0003801	AFZ55143		
OG0003802	AFZ55146		
OG0003803	AFZ55150		
OG0003804	AFZ55151		
OG0003805	AFZ55152		
OG0003806	AFZ55159		
OG0003807	AFZ55161		
OG0003808	AFZ55163		
OG0003809	AFZ55165		
OG0003810	AFZ55166		
OG0003811	AFZ55167		
OG0003812	AFZ55169		
OG0003813	AFZ55170		
OG0003814	AFZ55171		
OG0003815	AFZ55173		
OG0003816	AFZ55180		
OG0003817	AFZ55184		
OG0003818	AFZ55185		
OG0003819	AFZ55200		
OG0003820	AFZ55219		
OG0003821	AFZ55226		
OG0003822	AFZ55230		
OG0003823	AFZ55233		
OG0003824	AFZ55240		
OG0003825	AFZ55247		
OG0003826	AFZ55250		
OG0003827	AFZ55251		
OG0003828	AFZ55255		
OG0003829	AFZ55256		
OG0003830	AFZ55269		
OG0003831	AFZ55271		
OG0003832	AFZ55273		
OG0003833	AFZ55274		
OG0003834	AFZ55276		
OG0003835	AFZ55277		
OG0003836	AFZ55299		
OG0003837	AFZ55300		
OG0003838	AFZ55301		
OG0003839	AFZ55308		
OG0003840	AFZ55310		
OG0003841	AFZ55313		
OG0003842	AFZ55317		
OG0003843	AFZ55323		
OG0003844	AFZ55324		
OG0003845	AFZ55325		
OG0003846	AFZ55330		
OG0003847	AFZ55332		
OG0003848	AFZ55341		
OG0003849	AFZ55356		
OG0003850	AFZ55359		
OG0003851	AFZ55360		
OG0003852	AFZ55361		
OG0003853	AFZ55380		
OG0003854	AFZ55381		
OG0003855	AFZ55393		
OG0003856	AFZ55401		
OG0003857	AFZ55403		
OG0003858	AFZ55405		
OG0003859	AFZ55407		
OG0003860	AFZ55410		
OG0003861	AFZ55415		
OG0003862	AFZ55416		
OG0003863	AFZ55420		
OG0003864	AFZ55421		
OG0003865	AFZ55422		
OG0003866	AFZ55423		
OG0003867	AFZ55425		
OG0003868	AFZ55426		
OG0003869	AFZ55430		
OG0003870	AFZ55431		
OG0003871	AFZ55434		
OG0003872	AFZ55437		
OG0003873	AFZ55457		
OG0003874	AFZ55463		
OG0003875	AFZ55468		
OG0003876	AFZ55484		
OG0003877	AFZ55486		
OG0003878	AFZ55489		
OG0003879	AFZ55494		
OG0003880	AFZ55500		
OG0003881	AFZ55501		
OG0003882	AFZ55504		
OG0003883	AFZ55505		
OG0003884	AFZ55506		
OG0003885	AFZ55507		
OG0003886	AFZ55510		
OG0003887	AFZ55515		
OG0003888	AFZ55519		
OG0003889	AFZ55520		
OG0003890	AFZ55522		
OG0003891	AFZ55523		
OG0003892	AFZ55524		
OG0003893	AFZ55526		
OG0003894	AFZ55529		
OG0003895	AFZ55530		
OG0003896	AFZ55531		
OG0003897	AFZ55532		
OG0003898	AFZ55533		
OG0003899	AFZ55535		
OG0003900	AFZ55536		
OG0003901	AFZ55540		
OG0003902	AFZ55541		
OG0003903	AFZ55544		
OG0003904	AFZ55546		
OG0003905	AFZ55547		
OG0003906	AFZ55548		
OG0003907	AFZ55550		
OG0003908	AFZ55552		
OG0003909	AFZ55553		
OG0003910	AFZ55554		
OG0003911	AFZ55555		
OG0003912	AFZ55557		
OG0003913	AFZ55560		
OG0003914	AFZ55561		
OG0003915	AFZ55565		
OG0003916	AFZ55566		
OG0003917	AFZ55567		
OG0003918	AFZ55568		
OG0003919	AFZ55569		
OG0003920	AFZ55571		
OG0003921	AFZ55572		
OG0003922	AFZ55573		
OG0003923	AFZ55574		
OG0003924	AFZ55575		
OG0003925	AFZ55576		
OG0003926	AFZ55577		
OG0003927	AFZ55578		
OG0003928	AFZ55579		
OG0003929	AFZ55580		
OG0003930	AFZ55581		
OG0003931	AFZ55582		
OG0003932	AFZ55583		
OG0003933	AFZ55584		
OG0003934	AFZ55585		
OG0003935	AFZ55586		
OG0003936	AFZ55587		
OG0003937	AFZ55589		
OG0003938	AFZ55590		
OG0003939	AFZ55591		
OG0003940		ACC85469	
OG0003941		ACC85470	
OG0003942		ACC85471	
OG0003943		ACC85472	
OG0003944		ACC85473	
OG0003945		ACC85474	
OG0003946		ACC85475	
OG0003947		ACC85476	
OG0003948		ACC85477	
OG0003949		ACC85478	
OG0003950		ACC85479	
OG0003951		ACC85480	
OG0003952		ACC85481	
OG0003953		ACC85482	
OG0003954		ACC85483	
OG0003955		ACC85484	
OG0003956		ACC85485	
OG0003957		ACC85487	
OG0003958		ACC85490	
OG0003959		ACC85491	
OG0003960		ACC85492	
OG0003961		ACC85493	
OG0003962		ACC85151	
OG0003963		ACC85152	
OG0003964		ACC85153	
OG0003965		ACC85154	
OG0003966		ACC85156	
OG0003967		ACC85158	
OG0003968		ACC85159	
OG0003969		ACC85160	
OG0003970		ACC85162	
OG0003971		ACC85163	
OG0003972		ACC85164	
OG0003973		ACC85165	
OG0003974		ACC85166	
OG0003975		ACC85167	
OG0003976		ACC85168	
OG0003977		ACC85169	
OG0003978		ACC85170	
OG0003979		ACC85171	
OG0003980		ACC85172	
OG0003981		ACC85173	
OG0003982		ACC85174	
OG0003983		ACC85176	
OG0003984		ACC85177	
OG0003985		ACC85178	
OG0003986		ACC85179	
OG0003987		ACC85180	
OG0003988		ACC85181	
OG0003989		ACC85182	
OG0003990		ACC85183	
OG0003991		ACC85184	
OG0003992		ACC85185	
OG0003993		ACC85187	
OG0003994		ACC85189	
OG0003995		ACC85194	
OG0003996		ACC85195	
OG0003997		ACC85196	
OG0003998		ACC85197	
OG0003999		ACC85199	
OG0004000		ACC85200	
OG0004001		ACC85201	
OG0004002		ACC85202	
OG0004003		ACC85203	
OG0004004		ACC85204	
OG0004005		ACC85205	
OG0004006		ACC85206	
OG0004007		ACC85207	
OG0004008		ACC85208	
OG0004009		ACC85210	
OG0004010		ACC85211	
OG0004011		ACC85212	
OG0004012		ACC85213	
OG0004013		ACC85214	
OG0004014		ACC85215	
OG0004015		ACC85216	
OG0004016		ACC85217	
OG0004017		ACC85218	
OG0004018		ACC85221	
OG0004019		ACC85222	
OG0004020		ACC85223	
OG0004021		ACC85224	
OG0004022		ACC85226	
OG0004023		ACC85227	
OG0004024		ACC85228	
OG0004025		ACC85231	
OG0004026		ACC85232	
OG0004027		ACC85233	
OG0004028		ACC85234	
OG0004029		ACC85235	
OG0004030		ACC85236	
OG0004031		ACC85237	
OG0004032		ACC85239	
OG0004033		ACC85240	
OG0004034		ACC85242	
OG0004035		ACC85243	
OG0004036		ACC85244	
OG0004037		ACC85245	
OG0004038		ACC85246	
OG0004039		ACC85247	
OG0004040		ACC85248	
OG0004041		ACC85249	
OG0004042		ACC85250	
OG0004043		ACC85251	
OG0004044		ACC85252	
OG0004045		ACC85254	
OG0004046		ACC85255	
OG0004047		ACC85256	
OG0004048		ACC85257	
OG0004049		ACC85258	
OG0004050		ACC85259	
OG0004051		ACC85260	
OG0004052		ACC85261	
OG0004053		ACC85262	
OG0004054		ACC85264	
OG0004055		ACC85265	
OG0004056		ACC85267	
OG0004057		ACC85268	
OG0004058		ACC85270	
OG0004059		ACC85271	
OG0004060		ACC85273	
OG0004061		ACC85274	
OG0004062		ACC85275	
OG0004063		ACC85277	
OG0004064		ACC85278	
OG0004065		ACC85279	
OG0004066		ACC85280	
OG0004067		ACC85281	
OG0004068		ACC85282	
OG0004069		ACC85284	
OG0004070		ACC85285	
OG0004071		ACC85286	
OG0004072		ACC85287	
OG0004073		ACC85288	
OG0004074		ACC85290	
OG0004075		ACC85291	
OG0004076		ACC85292	
OG0004077		ACC85294	
OG0004078		ACC85295	
OG0004079		ACC85297	
OG0004080		ACC85298	
OG0004081		ACC85299	
OG0004082		ACC85300	
OG0004083		ACC85302	
OG0004084		ACC85304	
OG0004085		ACC85305	
OG0004086		ACC85306	
OG0004087		ACC85308	
OG0004088		ACC85309	
OG0004089		ACC85310	
OG0004090		ACC85311	
OG0004091		ACC85312	
OG0004092		ACC85313	
OG0004093		ACC85314	
OG0004094		ACC85315	
OG0004095		ACC85316	
OG0004096		ACC85317	
OG0004097		ACC85318	
OG0004098		ACC85319	
OG0004099		ACC85320	
OG0004100		ACC85322	
OG0004101		ACC85323	
OG0004102		ACC85324	
OG0004103		ACC85325	
OG0004104		ACC85326	
OG0004105		ACC85327	
OG0004106		ACC85328	
OG0004107		ACC85329	
OG0004108		ACC85330	
OG0004109		ACC85332	
OG0004110		ACC85333	
OG0004111		ACC85334	
OG0004112		ACC85335	
OG0004113		ACC85336	
OG0004114		ACC85337	
OG0004115		ACC85338	
OG0004116		ACC85341	
OG0004117		ACC85342	
OG0004118		ACC85343	
OG0004119		ACC85344	
OG0004120		ACC85346	
OG0004121		ACC85347	
OG0004122		ACC84891	
OG0004123		ACC84892	
OG0004124		ACC84893	
OG0004125		ACC84895	
OG0004126		ACC84896	
OG0004127		ACC84897	
OG0004128		ACC84901	
OG0004129		ACC84902	
OG0004130		ACC84904	
OG0004131		ACC84905	
OG0004132		ACC84906	
OG0004133		ACC84907	
OG0004134		ACC84908	
OG0004135		ACC84911	
OG0004136		ACC84912	
OG0004137		ACC84913	
OG0004138		ACC84914	
OG0004139		ACC84916	
OG0004140		ACC84917	
OG0004141		ACC84918	
OG0004142		ACC84919	
OG0004143		ACC84920	
OG0004144		ACC84921	
OG0004145		ACC84922	
OG0004146		ACC84923	
OG0004147		ACC84924	
OG0004148		ACC84925	
OG0004149		ACC84926	
OG0004150		ACC84927	
OG0004151		ACC84928	
OG0004152		ACC84929	
OG0004153		ACC84930	
OG0004154		ACC84931	
OG0004155		ACC84932	
OG0004156		ACC84933	
OG0004157		ACC84934	
OG0004158		ACC84935	
OG0004159		ACC84936	
OG0004160		ACC84937	
OG0004161		ACC84938	
OG0004162		ACC84939	
OG0004163		ACC84940	
OG0004164		ACC84941	
OG0004165		ACC84942	
OG0004166		ACC84943	
OG0004167		ACC84944	
OG0004168		ACC84945	
OG0004169		ACC84947	
OG0004170		ACC84948	
OG0004171		ACC84951	
OG0004172		ACC84952	
OG0004173		ACC84954	
OG0004174		ACC84960	
OG0004175		ACC84961	
OG0004176		ACC84963	
OG0004177		ACC84964	
OG0004178		ACC84965	
OG0004179		ACC84967	
OG0004180		ACC84968	
OG0004181		ACC84969	
OG0004182		ACC84973	
OG0004183		ACC84976	
OG0004184		ACC84977	
OG0004185		ACC84978	
OG0004186		ACC84979	
OG0004187		ACC84984	
OG0004188		ACC84985	
OG0004189		ACC84987	
OG0004190		ACC84988	
OG0004191		ACC84989	
OG0004192		ACC84990	
OG0004193		ACC84992	
OG0004194		ACC84993	
OG0004195		ACC84994	
OG0004196		ACC84995	
OG0004197		ACC84996	
OG0004198		ACC84997	
OG0004199		ACC84998	
OG0004200		ACC84999	
OG0004201		ACC85000	
OG0004202		ACC85004	
OG0004203		ACC85006	
